מספר סידורי,לינק,שם משתמש,תיאור קצר,תאריך פרסום,ז'אנר ויזואלי,סוג הטקס,טכניקת הומור,מושא ההומור,לייקים,צפיות (Plays),תגובות,% לייקים/צפיות,% תגובות/צפיות,מדד מעורבות משוקלל (%)
089,https://www.instagram.com/p/DYnn0otPirw/,luloandlatte,"תחת הכיתוב ""When they leave you alone and 20 customers show up"" בריסטה שנשארה לבדה נאחזת בדלפק בבעתה מול ההסתערות",21.05.2026,וולוג משמרת,חשיפה,התנהגות ליצנית,הצוות,102602,1547833,382,6.63%,0.02%,6.75%
090,https://www.instagram.com/p/DZi2hivtZf8/,heavenscentcoffeeshop,"ברמן מבטיח ללקוח ""don't worry, I'll bring it over"" ויוצא עם הקפה והעוגה למסע עירוני שלם דרך כיכר התנועה",13.06.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,71544,919239,180,7.78%,0.02%,7.88%
091,https://www.instagram.com/p/DU50yRSEdZI/,blessingsfamilyrestaurant,"וולוג משפחתי במסעדה שבו כל עמדה מאוישת בקרוב משפחה אחר — ילדים, הורים, סבים ואחיות",18.02.2026,וולוג משמרת,חשיפה,התנהגות ליצנית,המסעדה,75487,2396689,271,3.15%,0.01%,3.21%
092,https://www.instagram.com/p/DaiXPARv2el/,oolabowlslebanon,"על השאלה מה הלקוח רוצה בקערה, התשובה ""everything?"" מתממשת כשהעובד מעמיס את כל התוספות בבת אחת",08.07.2026,אסתטיקת מזון,צריכה,התנהגות ליצנית,הלקוח,4810,107229,48,4.49%,0.04%,4.71%
093,https://www.instagram.com/p/Da0HXSoNuT-/,tostibudapest,"תחת ""We like to guess what you order"" הבריסטה מהמר על מאצ'ה קרה מול 100 שכיבות סמיכה, הלקוחה מבקשת צ'אי והוא מבצע",15.07.2026,מערכון עלילתי,חשיפה,הפתעה,הצוות,4079,191558,13,2.13%,0.01%,2.16%
094,https://www.instagram.com/p/DbTUkU1Rv9y/,thepinktruck,"הכרזות ""עובד היום"", ""עובד השבוע"" ו""עובד החודש"" מתגלות כולן כמכוונות לאותה עובדת אחת",27.07.2026,מערכון עלילתי,חשיפה,אירוניה,הצוות,26902,478369,96,5.62%,0.02%,5.72%
095,https://www.instagram.com/p/DZYOBWlhvu9/,benchwarmers_stockbridge,הטבח ליאו מוצב מאחורי הבר לערב אחד ומוזג משקאות בביטחון מופרז שאינו תואם את ניסיונו,09.06.2026,וולוג משמרת,חשיפה,התנהגות ליצנית,הצוות,24097,426125,154,5.65%,0.04%,5.84%
096,https://www.instagram.com/p/Daip9kepp-_/,crievehallbagelco,"תחת הכיתוב ""When you know your regulars too well"" לקוח קבוע דוחף לעובד מאפה לפה ומוסיף טפיחת ניצחון",08.07.2026,מערכון עלילתי,חשיפה,סלפסטיק,המסעדה,42163,676569,202,6.23%,0.03%,6.38%
097,https://www.instagram.com/p/DYpDuJuxdNq/,julietwholesaleflowers,"תחת ""The perfect work duo"" עובד אחד מיומן עם לקוחות ותקשורת, והשני יודע רק ""Good morning, Good afternoon, Good night""",22.05.2026,מערכון עלילתי,חשיפה,אירוניה,הצוות,1100,66260,18,1.66%,0.03%,1.80%
098,https://www.instagram.com/p/DRnkNLQAWYO/,kalyug.cocktail_bar,"תחת ""2 Years in hospitality"" העובדת מדגימה בריקוד את שגרת המטבח האנרגטית שרכשה עם הניסיון",28.11.2025,וולוג משמרת,חשיפה,התנהגות ליצנית,המקצוע,25918,907799,136,2.86%,0.01%,2.93%
099,https://www.instagram.com/p/DSzNqhBCIhz/,ag.barista,"תחת ""POV: The doctor told me to stay away from coffee"" הבריסטה שותה קפה קר ישירות דרך צינור השאיבה של המכונה",28.12.2025,פוב,צריכה,התנהגות ליצנית,המקצוע,46526,887348,239,5.24%,0.03%,5.38%
100,https://www.instagram.com/p/DZzzbXRMsJL/,bombompatisserie,"לקוח מחמיא ""you guys work really well as a team"", ותחת ""Us half the time"" נחשף הצוות מתקוטט ומשתולל במטבח",20.06.2026,מערכון עלילתי,חשיפה,אירוניה,הצוות,34866,457815,76,7.62%,0.02%,7.70%
101,https://www.instagram.com/p/DWmWmlZkV63/,_alona_grygorian_,"תחת ""You don't know what real cold is until you can't find something in the freezer"" הטבחית מחטטת קפואה במקרר",01.04.2026,וולוג משמרת,חשיפה,אירוניה,המקצוע,95133,1398504,358,6.80%,0.03%,6.93%
102,https://www.instagram.com/p/DS29Yt3kgkw/,saludjuice,"לקוח מבקש ""speak to someone higher"", והמנהלת מפנה אותו לעובד הגבוה פיזית בעל השיער הארוך",29.12.2025,מערכון עלילתי,חשיפה,אי-הבנה,הצוות,2084,67395,53,3.09%,0.08%,3.49%
103,https://www.instagram.com/p/DXF4TfXEZwq/,bellagambasrestaurant,"הזמנת ""Spaghetti with tomato sauce — no tomato"" שולחת את השף מהמטבח לכביש הריק בייאוש קיומי",14.04.2026,מערכון עלילתי,חשיפה,אירוניה,הלקוח,196999,3138788,1686,6.28%,0.05%,6.54%
104,https://www.instagram.com/p/DYkQiM3j2Xi/,nonnamercato,"תחת הכיתוב ""Which gym do you go to?"" עובדת מאפייה מדגימה תרגילי כוח עם ציוד המטבח",20.05.2026,וולוג משמרת,חשיפה,אירוניה,המקצוע,90413,1116677,121,8.10%,0.01%,8.15%
105,https://www.instagram.com/p/DZ--Zcrvuzd/,sammysattheclub,"על הזמנת 150 פיצות בשעה המנהל מבטיח ""we'll get it done somehow"", והכיתוב חושף את העובד השקט שהוא ה-somehow",24.06.2026,מערכון עלילתי,חשיפה,אירוניה,הצוות,291010,8890514,618,3.27%,0.01%,3.31%
106,https://www.instagram.com/p/DaO0lkSOG8J/,the_saltypineapple,"עובד מאחר נשפט תחת הכיתוב ""Always judged for being late"", והכיתוב ""If they only knew"" חושף אותו כספיידרמן במסכה",01.07.2026,מערכון עלילתי,חשיפה,הפתעה,הצוות,219202,3941733,253,5.56%,0.01%,5.59%
107,https://www.instagram.com/p/DOb9COhDr-G/,kenzieparkerboutique,"לקוחה טוענת שהנר ב-$37.99 ""a little expensive"", והמוכרת מציעה בהפתעה ""do you want me to pay for you?""",10.09.2025,מערכון עלילתי,חשיפה,הפתעה,הלקוח,13968,766228,99,1.82%,0.01%,1.89%
108,https://www.instagram.com/p/DaQ_HSWycoz/,coffeecitohouse,"לקוחה מבקשת בתוקפנות ""is your manager here?"", ומתגלה שהיא רק רוצה לשמוע רכילות — ""I just want to know the tea""",01.07.2026,מערכון עלילתי,חשיפה,הפתעה,הלקוח,22765,570451,40,3.99%,0.01%,4.03%
109,https://www.instagram.com/p/DaDayewsRhg/,coffeecitohouse,"תחת ""When it's busy and we ask our boss for help"" הצוות קורס בעומס והבוס מתגלה מפטפט עם לקוחות ליד השולחנות",26.06.2026,מערכון עלילתי,חשיפה,אירוניה,הצוות,4526,196350,33,2.31%,0.02%,2.39%
110,https://www.instagram.com/p/DZGx5yKOD1o/,sarah.jagdip,"קונדיטורית נכנסת למקרר, רואה את היקף העבודה שמחכה לה ויוצאת מיד בכיתוב ""Nevermind, I'll just come back""",03.06.2026,פוב,חשיפה,הפתעה,המקצוע,36097,341938,69,10.56%,0.02%,10.66%
111,https://www.instagram.com/p/DaaTqzwICHd/,lukumades_uae,"תחת ""When a customer wants to speak to a manager"" העובדת מתלוננת והמנהל מחקה בדיוק את תנועות ידיה בלעג",05.07.2026,מערכון עלילתי,חשיפה,פרודיה,הצוות,34669,1629425,228,2.13%,0.01%,2.20%
112,https://www.instagram.com/p/DWjQDHUCLXn/,crazycookies.qa,"טיזר ""New Cookie Flavor coming soon"" שבו קופסת ""Crazy Cookie"" מרחפת באוויר לצד תגובות מוגזמות של העובדת",31.03.2026,מערכון עלילתי,ייעוץ,התנהגות ליצנית,המסעדה,6666,568022,133,1.17%,0.02%,1.29%
113,https://www.instagram.com/p/DXwtV-VNNZQ/,cafeplusllc,"בריסטה נשאל למה הלקוחות תמיד פונים דווקא אליו, ועונה בכיתוב ""Must be my big personality""",30.04.2026,פוב,חשיפה,אירוניה,הצוות,6015,141284,38,4.26%,0.03%,4.39%
114,https://www.instagram.com/p/DZCq_uNShg_/,deliciarestaurant.ind,"תחת ""When something falls behind the fridge"" הצוות מגייס מצקות, מרדים וטלפון במבצע חילוץ אבסורדי ומוגזם",01.06.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,25064,596847,103,4.20%,0.02%,4.29%
115,https://www.instagram.com/p/DZR5GLoSwcB/,turquoisecafeau,"תחת הכיתוב ""When a customer orders the cake I was planning to eat"" העובדת מגישה את הבראוני ומושכת אותו חזרה במבט רצחני",01.06.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,233462,5503563,1588,4.24%,0.03%,4.39%
116,https://www.instagram.com/p/DYkN8_Ds2-u/,fahad_alianda,"תחת ""POV: After you work 8 hours in pastry section"" הקונדיטור מנגב את פניו והמפית נחשפת עמוסה בקמח כמו אבקה",20.05.2026,פוב,חשיפה,סלפסטיק,המקצוע,8009,202673,91,3.95%,0.04%,4.18%
117,https://www.instagram.com/p/DXSPYLHE9By/,protreatsbyair,"תחת הכיתוב ""Life after 30"" האופה מתקשה להתכופף ולהתרומם בין התבניות ונאנק בכל תנועה",19.04.2026,וולוג משמרת,חשיפה,סלפסטיק,המקצוע,23576,859151,283,2.74%,0.03%,2.91%
118,https://www.instagram.com/p/DRnEuVCj0RW/,ronald_barista,"תחת ""pov: When you're working but the owner calls you"" הבריסטה ממשיך לצקת לאטה מושלם תוך כדי שיחה עם הבעלים",28.11.2025,פוב,חשיפה,התנהגות ליצנית,הצוות,30206,1039565,215,2.91%,0.02%,3.01%
119,https://www.instagram.com/p/DSmY6DtiuZp/,hamedshabanyi,"עבודת שני הפיצריולו ליד התנור מקבלת חיתוך עריכה מפתיע לתחרות סטירות, בהשוואה קומית בין המקצועות",23.12.2025,מערכון עלילתי,חשיפה,פרודיה,הצוות,515669,27681277,2899,1.86%,0.01%,1.92%
120,https://www.instagram.com/p/DS4-MFYCP3q/,amit_naor_burger,"עובדי Burger Station מתווכחים על תאריך פתיחה בסילבסטר, עם עקיצות ""אתה יהודי בכלל?"" עד הבשורה ""פתוחים בי""א בטבת""",30.12.2025,מערכון עלילתי,ייעוץ,אירוניה,המסעדה,4405,78716,105,5.60%,0.13%,6.26%
